Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
    5159    99112     4470    93497        0    78441     1541     4355        0      836        0        0       65419    131660   548248   208846     1863        0       56        0        4        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
    5293   100580     5303    94323        0    77239      981 69328071   825625 55520165  4515907   493832       66748    133458   547477   206850  4624114 13037437  1276101    18420      292    23116 
    4913   100517     5592    93634        0    78112     1131      263        0      148        0        0       67067    132676   547419   206818       58        0       83        0        0        0 
    4711   101311     5542    93569        0    77584     1124     1297        0      915        0        0       67016    133406   547355   206801       64        0       48        0        0        0 
    3755   100350     5510    93782        0    79317     1202      794        2      599        0        0       67063    132579   547294   206785       61        0       28        0        0        0 
    3789   101384     5539    94648        0    77628     1256     1724        1      788        0      546       67422    134149   546931   206606      363        0      291        0        0        0 
    3947   102612     5534    94728        0    76128      540      620        0      531        0      852       67432    135442   546898   206585       33        0       11        0        0        0 
    3997   101037     5256    94836        0    78163        0     3391        8     1817        1      616       67353    133776   546147   206293      740        0      232        1       20        0 
    3862   100646     4106    95779        0    78919        0     2429        0     2478       16       88       66249    134282   546106   206276       40        0       17       20        4        0 
    3701   101859     4107    95860        0    77696      155      840        0      782        0        0       66250    135576   546094   206273       12        0        0        0        0        0 
    4536   101468     3584    96631        0    77001       48      755        0      706        0      135       65710    135973   546077   206269       17        0        0        0        0        0 
    4590   102376     3594    96708        0    75983       68      234        0      190        0        0       65720    136958   546051   206267       26        0        0        0        0        0 
    4669   101842     3600    97160        0    76023      376      553        0      532        0        0       65726    136876   546040   206266        7        0        0        0        0        0 
    4632   101187     3601    96883        0    76938       64      164        1      121        0        0       65728    135943   546024   206263       14        0        2        0        0        0 
    4778   101078     3602    96845        0    76922       64       56        0       33        0        0       65729    135796   546017   206262        7        0        0        0        0        0 
    4561   101505     3672    97047        0    76572      360      614        0      416       34        0       65836    136388   545908   206224      103        0       67        0        0        0 
    4304   100763     3692    96247        0    78365      278     1281        4     1156        0        0       65858    134844   545892   206219       16        0        5        0        0        0 
    4109   101674     3743    96813        0    77080      326     1205        0      852        0        0       65911    136319   545674   206132      218        0        2        0        0        0 
    4125   101603     3750    96735        0    77286      298      860        4      766        0        0       65919    136169   545669   206132        5        0        4        0        0        0 
    4009   101157     3751    96474        0    77990      180     1176        4     1013        0        0       65920    135462   545611   206114       58        0        0        0        0        0 
    4089   102191     3763    96659        0    76676      342      876        0      810        0        0       65933    136680   545589   206110       22        0        1        0        0        0 
    3935   101730     3764    96760        0    77189      326     1018        4      938        0        0       65934    136320   545586   206109        3        0        0        0        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
    3922   102127     3764    96845        0    76789      354 69348656   825653 55536150  4515958   496069       65934    136802   545577   206103  4625990 13037437  1276892    18441      316    23116 
    4126   102019     3765    97088        0    76411      296       24        0       16        0        0       65935    136937   545574   206102        3        0        0        0        0        0 
    4130   101470     3765    97086        0    77076      238       70        0      107        0        0       65935    136386   545570   206101        4        0        0        0        0        0 
    4128   101554     3765    97118        0    76921      406      280        0      260        0        0       65935    136502   545561   206100        9        0        0        0        0        0 
    3825   100968     3766    96710        0    78203      128      999        4     1043        0        0       65936    135508   545555   206097        5        0        0        0        0        0 
    4034   101210     3713    97022        0    77560        0     1016        4      793        0      472       65883    136062   545473   205981       82        0        0        0        0        0 
    4137   101544     3714    96771        0    77317      144      704        0      852        0        0       65884    136145   545453   205978       20        0        0        0        0        0 
    4422   100972     3242    96748        0    78153      184     1094        4     1362        0      148       65412    135550   545435   205962       18        0        0        0        0        0 
    4486   102934     3242    97131        0    75801      786      926        0      890        0        0       65412    137895   545421   205957       14        0        0        0        0        0 
    4489   101742     3243    97526        0    76609      770      689        0      658        0        0       65413    137098   545415   205953        6        0        0        0        0        0 
    4144   101457     3243    97421        0    77406      722     1184        4     1085        0        0       65413    136708   545395   205950       20        0        0        0        0        0 
    4421   101750     3246    97541        0    76605      778      570        0      535        0        0       65416    137121   545381   205942       14        0        0        0        0        0 
    4197   101572     3247    97367        0    77201      738     1375        4     1288        0        0       65417    136769   545370   205937       11        0        0        0        0        0 
